ID;LOCATION_NAME;STATUS;CONSTRUCTION_START;COMPLETION;INSTALLED_POWER_KW;PRODUCTION_2015_MWH;PRODUCTION_2016_MWH;PRODUCTION_2017_MWH;PRODUCTION_2018_MWH;COUNT;TYPE;COMMUNES;CANTON;LATITUDE;LONGITUDE;IMAGE_URL
1001;Mont Crosin;in Betrieb;1996;2016;37200;56951;57171;74041;66967;16;Vestas V90-2MW (12x), Vestas V112-3.3MW (4x);Saint-Imier, Villeret, Cormoret, Courtelary;BE;47.175833;7.018889;https://www.suisse-eole.ch/media/ul/medias/images/Mt-Crosin4emeol-HD.jpg
1002;Peuchapatte;in Betrieb;2010;2010;6000;14436;13366;13186;12480;3;Enercon E-82 (3x);Le Peuchapatte;JU;47.202222;6.962778;https://live.staticflickr.com/5122/5369378709_0c4124ae3f_b.jpg
1003;Saint-Brais;in Betrieb;2009;2009;4000;6677;6142;7002;6813;2;Enercon E-82 (2x);Saint-Brais;JU;47.303056;7.103889;http://www.uvek-gis.admin.ch/BFE/bilder/ch.bfe.windenergieanlagen/img_STB.jpg
1004;Haldenstein;in Betrieb;2012;2013;3000;4278;4372;4137;4920;1;Vestas V112-3.0 MW (1x);Haldenstein;GR;46.893611;9.538333;https://www.suisse-eole.ch/media/redactor/Nabben%20Benedikt%20-%20Haldenstein.jpg
1005;Feldmoos;in Betrieb;2005;2011;1850;1196;1081;1240;895;2;NEG Micon NM52/900 (1x), NEG Micon NM54/950 (1x);Entlebuch;LU;46.988611;8.086944;https://www.thewindpower.net/images/image3635.jpg
1006;Lutersarni;in Betrieb;2013;2013;2300;2740;2787;3190;2462;1;Enercon E-82 E2 (1x);Entlebuch;LU;46.994722;8.108056;http://www.uvek-gis.admin.ch/BFE/bilder/ch.bfe.windenergieanlagen/img_LUT.jpg
1007;Obergrenchenberg;in Betrieb;1994;1994;150;120;119;117;100;1;AN Bonus 150/30 (1x);Grenchen;SO;47.232222;7.400278;https://www.bielertagblatt.ch/sites/bielertagblatt.ch/files/styles/bt_article_showroom_landscape/hash/46/9a/469a38ee33949b02b7565177a3dfbea2.jpg?itok=edjcCPno
1008;Gütsch;in Betrieb;2002;2012;3300;5060;5071;5046;5053;4;Enercon E-40/6.44 (1x), Enercon E-44 (3x);Andermatt;UR;46.655;8.615833;https://www.suisse-eole.ch/media/redactor/Storz%20Wilfried%20-%20Gütsch_0340.jpg
1009;Gotthard;in Bau;2019;2020;11750;;;;;5;Enercon E-92 (5x);Airolo;TI;;;https://img.nzz.ch/2016/9/7/adcece12-bba6-462f-9d2f-2a23f38b7f28.jpeg?width=400&height=224&fit=bounds&quality=75&auto=webp&crop=4256,2392,x0,y220
1010;Charrat;in Betrieb;2012;2012;3050;6713;7047;7052;6705;1;Enercon E-101 (1x);Charrat;VS;46.131111;7.145278;http://www.uvek-gis.admin.ch/BFE/bilder/ch.bfe.windenergieanlagen/img_CHA.jpg
1011;Collonges;in Betrieb;2005;2005;2000;4600;4333;4395;4882;1;Enercon E-70 (1x);Collonges;VS;46.159722;7.037222;http://www.uvek-gis.admin.ch/BFE/bilder/ch.bfe.windenergieanlagen/img_COL.jpg
1012;Gries;in Betrieb;2011;2016;9350;1727;1397;7792;5266;4;Enercon E-70 (1x), Enercon E-92 (3x);Obergoms;VS;46.463056;8.374444;https://img.oastatic.com/img2/26510065/max/windpark-gries.jpg
1013;Martigny;in Betrieb;2008;2008;2000;5040;4597;5195;5034;1;Enercon E-82 (1x);Martigny;VS;46.126667;8.052222;http://www.uvek-gis.admin.ch/BFE/bilder/ch.bfe.windenergieanlagen/img_MTG.jpg
1014;Taggenberg 1 und 2;in Betrieb;2002;2002;13;17533;18.1;21.5;20.5;2;Aventa AV-7 (2x);Winterthur;ZH;47.51996;8.68391;http://www.uvek-gis.admin.ch/BFE/bilder/ch.bfe.windenergieanlagen/img_WIT.jpg
1015;Grenchenberg;geplant;2020;;16000;;;;;6;;Grenchen;SO;;;https://www.bielertagblatt.ch/sites/bielertagblatt.ch/files/styles/bt_article_showroom_landscape/hash/ac/96/ac9697e32fe85de9634154faf566ac42.jpg?itok=jZRaI7qs
1016;Linthebene;geplant;2020;;17500;;;;;5;;Glarus Nord, Bilten;GL;;;https://natuurinsel.com/wp-content/uploads/2018/02/Visu01-Linth.jpg
1017;Le Chalet-à-Gobet;geplant;;;;;;;;8;;Lausanne;VD;;;https://www.baublatt.ch/sites/default/files/styles/kmm_full_width_md_1x/public/2018-05/wind-turbine-2218462.jpg?itok=6MgyI4ln
